!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:29:15 2026

BEGIN CH1_DATA
DCV(V), +2.506e-004, DCI(A), +4.021e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+3.62001100000e+003, +2.26990044718e+000, +8.92919680821e+001, +9.97892804304e-005, +2.80495540276e-002
+3.64656900000e+003, +2.28631759047e+000, +8.92890251664e+001, +9.97789240814e-005, +2.83698479449e-002
+3.67332100000e+003, +2.30272498470e+000, +8.92920252034e+001, +9.97631532538e-005, +2.84528770015e-002
+3.70027000000e+003, +2.31950279709e+000, +8.92924234933e+001, +9.97581758900e-005, +2.86440638929e-002
+3.72741600000e+003, +2.33628918740e+000, +8.92954532980e+001, +9.97484211762e-005, +2.87278290696e-002
+3.75476200000e+003, +2.35353641679e+000, +8.92965562525e+001, +9.97529867261e-005, +2.88946044364e-002
+3.78230800000e+003, +2.37085124539e+000, +8.93055861630e+001, +9.97552241192e-005, +2.87335580242e-002
+3.81005600000e+003, +2.38817299147e+000, +8.93127951241e+001, +9.97523915261e-005, +2.86430307782e-002
+3.83800800000e+003, +2.40582451018e+000, +8.93175631258e+001, +9.97579220981e-005, +2.86545458132e-002
+3.86616500000e+003, +2.42335067432e+000, +8.93235934331e+001, +9.97529495571e-005, +2.86082543752e-002
+3.89452800000e+003, +2.44103188705e+000, +8.93369924910e+001, +9.97492585673e-005, +2.82461704191e-002
+3.92309900000e+003, +2.45875715104e+000, +8.93478293017e+001, +9.97420672855e-005, +2.79862627898e-002
+3.95188000000e+003, +2.47664282206e+000, +8.93547543046e+001, +9.97360629272e-005, +2.78905244887e-002
+3.98087300000e+003, +2.49474873286e+000, +8.93603936085e+001, +9.97336144615e-005, +2.78488940572e-002
+4.01007800000e+003, +2.51298353109e+000, +8.93667182112e+001, +9.97310578116e-005, +2.77750702866e-002
+4.03949700000e+003, +2.53155920891e+000, +8.93636929406e+001, +9.97365056872e-005, +2.81140408147e-002
+4.06913200000e+003, +2.55073003977e+000, +8.93556250297e+001, +9.97597573629e-005, +2.86860910048e-002
