!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:54:32 2026

BEGIN CH1_DATA
DCV(V), +4.164e-005, DCI(A), -3.882e-007
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.17018000000e+003, +2.43405768708e+001, +8.49220526999e+001, +1.77806392918e-003, +2.15440689676e+000
+2.18610100000e+003, +2.45136588548e+001, +8.48976384580e+001, +1.77759857278e-003, +2.18013083738e+000
+2.20213900000e+003, +2.46881242060e+001, +8.48725911503e+001, +1.77714207552e-003, +2.20639660828e+000
+2.21829500000e+003, +2.48636582528e+001, +8.48478047125e+001, +1.77667344959e-003, +2.23279711263e+000
+2.23456900000e+003, +2.50405205314e+001, +8.48230856065e+001, +1.77621090841e-003, +2.25943900234e+000
+2.25096200000e+003, +2.52183072761e+001, +8.47979941648e+001, +1.77572392126e-003, +2.28647947509e+000
+2.26747600000e+003, +2.53970936579e+001, +8.47730523096e+001, +1.77521821115e-003, +2.31369962372e+000
+2.28411100000e+003, +2.55776041625e+001, +8.47480698030e+001, +1.77474399206e-003, +2.34125023214e+000
+2.30086800000e+003, +2.57591628083e+001, +8.47225554904e+001, +1.77425189381e-003, +2.36929162345e+000
+2.31774800000e+003, +2.59420555629e+001, +8.46973525389e+001, +1.77376352244e-003, +2.39747648683e+000
+2.33475100000e+003, +2.61260461649e+001, +8.46714772151e+001, +1.77326001210e-003, +2.42622830496e+000
+2.35188000000e+003, +2.63110537147e+001, +8.46453198688e+001, +1.77273510485e-003, +2.45536893499e+000
+2.36913400000e+003, +2.64971844801e+001, +8.46193096251e+001, +1.77219840889e-003, +2.48471483996e+000
+2.38651500000e+003, +2.66848548576e+001, +8.45936967195e+001, +1.77167715537e-003, +2.51418931885e+000
+2.40402300000e+003, +2.68737465659e+001, +8.45675554496e+001, +1.77114741447e-003, +2.54419266052e+000
+2.42166000000e+003, +2.70640598630e+001, +8.45411982025e+001, +1.77062194279e-003, +2.57460384866e+000
+2.43942600000e+003, +2.72561693407e+001, +8.45157796020e+001, +1.77012844139e-003, +2.60491600799e+000
+2.45732200000e+003, +2.74492745199e+001, +8.44901404333e+001, +1.76961058987e-003, +2.63559811069e+000
+2.47535000000e+003, +2.76436679535e+001, +8.44638825503e+001, +1.76908506089e-003, +2.66687310058e+000
+2.49351000000e+003, +2.78396676500e+001, +8.44372400265e+001, +1.76857292701e-003, +2.69866658348e+000
+2.51180300000e+003, +2.80369788008e+001, +8.44101516120e+001, +1.76805443613e-003, +2.73098579177e+000
+2.53023000000e+003, +2.82355689539e+001, +8.43821017804e+001, +1.76752544649e-003, +2.76408677235e+000
+2.54879300000e+003, +2.84355240384e+001, +8.43528847442e+001, +1.76698947043e-003, +2.79809134947e+000
+2.56749100000e+003, +2.86369916375e+001, +8.43234596832e+001, +1.76645932483e-003, +2.83255120072e+000
+2.58632700000e+003, +2.88394299594e+001, +8.42947400301e+001, +1.76590250866e-003, +2.86695943261e+000
+2.60530100000e+003, +2.90434864933e+001, +8.42659536242e+001, +1.76535671614e-003, +2.90176422759e+000
+2.62441500000e+003, +2.92489939508e+001, +8.42365774564e+001, +1.76480869829e-003, +2.93721754243e+000
+2.64366800000e+003, +2.94559177898e+001, +8.42087815465e+001, +1.76426387805e-003, +2.97221444147e+000
+2.66306300000e+003, +2.96639228914e+001, +8.41803665622e+001, +1.76369361274e-003, +3.00783887523e+000
+2.68260000000e+003, +2.98736940837e+001, +8.41518925183e+001, +1.76314064120e-003, +3.04387840093e+000
+2.70228000000e+003, +3.00847466817e+001, +8.41228893121e+001, +1.76257410702e-003, +3.08053217706e+000
+2.72210500000e+003, +3.02971554080e+001, +8.40942465328e+001, +1.76200019438e-003, +3.11734767807e+000
+2.74207500000e+003, +3.05110137604e+001, +8.40653513888e+001, +1.76142261290e-003, +3.15465718845e+000
+2.76219200000e+003, +3.07267827368e+001, +8.40359157929e+001, +1.76086570096e-003, +3.19266721682e+000
+2.78245600000e+003, +3.09436102772e+001, +8.40056195841e+001, +1.76027950609e-003, +3.23146968363e+000
+2.80286900000e+003, +3.11624519910e+001, +8.39757726656e+001, +1.75972158913e-003, +3.27046768370e+000
+2.82343200000e+003, +3.13824247599e+001, +8.39455888524e+001, +1.75913876197e-003, +3.30999432429e+000
+2.84414600000e+003, +3.16045758079e+001, +8.39153784057e+001, +1.75859026549e-003, +3.34999601867e+000
+2.86501100000e+003, +3.18291623618e+001, +8.38881249083e+001, +1.75809942165e-003, +3.38885584977e+000
+2.88603000000e+003, +3.20539938563e+001, +8.38571352272e+001, +1.75752133823e-003, +3.43003175469e+000
+2.90720300000e+003, +3.22802596882e+001, +8.38262487224e+001, +1.75693501980e-003, +3.47154493459e+000
+2.92853100000e+003, +3.25077669576e+001, +8.37949621416e+001, +1.75632802661e-003, +3.51365947234e+000
+2.95001500000e+003, +3.27368409192e+001, +8.37628385015e+001, +1.75571621768e-003, +3.55666559470e+000
+2.97165800000e+003, +3.29669167384e+001, +8.37306460125e+001, +1.75507040938e-003, +3.60007472705e+000
+2.99345900000e+003, +3.31987408026e+001, +8.36982281225e+001, +1.75443091301e-003, +3.64406142344e+000
+3.01541900000e+003, +3.34320601376e+001, +8.36652521094e+001, +1.75378265325e-003, +3.68879634543e+000
+3.03754100000e+003, +3.36676155514e+001, +8.36315274111e+001, +1.75316202014e-003, +3.73448219732e+000
+3.05982600000e+003, +3.39041719187e+001, +8.35986012294e+001, +1.75250927834e-003, +3.78008438936e+000
+3.08227400000e+003, +3.41431763986e+001, +8.35650936240e+001, +1.75189480042e-003, +3.82657416165e+000
+3.10488600000e+003, +3.43836033213e+001, +8.35312277520e+001, +1.75126571234e-003, +3.87371428781e+000
+3.12766500000e+003, +3.46260827683e+001, +8.34970427208e+001, +1.75065267102e-003, +3.92155955559e+000
+3.15061000000e+003, +3.48698007505e+001, +8.34634108540e+001, +1.75001810839e-003, +3.96949745280e+000
+3.17372400000e+003, +3.51157463492e+001, +8.34291810082e+001, +1.74940620812e-003, +4.01833721195e+000
+3.19700700000e+003, +3.53631322498e+001, +8.33954255997e+001, +1.74878131982e-003, +4.06734226343e+000
+3.22046200000e+003, +3.56120320687e+001, +8.33613745086e+001, +1.74814310735e-003, +4.11699302007e+000
+3.24408800000e+003, +3.58631429921e+001, +8.33269287590e+001, +1.74752605317e-003, +4.16743846215e+000
+3.26788800000e+003, +3.61152324531e+001, +8.32926158972e+001, +1.74687037834e-003, +4.21821338855e+000
+3.29186200000e+003, +3.63699726311e+001, +8.32576985661e+001, +1.74625464958e-003, +4.26997890037e+000
+3.31601200000e+003, +3.66257762685e+001, +8.32231073496e+001, +1.74560464512e-003, +4.32196965663e+000
+3.34033900000e+003, +3.68840236533e+001, +8.31882644102e+001, +1.74498390653e-003, +4.37471629053e+000
+3.36484500000e+003, +3.71436783514e+001, +8.31530550318e+001, +1.74434169654e-003, +4.42817681053e+000
+3.38953000000e+003, +3.74049580829e+001, +8.31176261017e+001, +1.74368919522e-003, +4.48228953125e+000
+3.41439700000e+003, +3.76682028946e+001, +8.30819821057e+001, +1.74304088903e-003, +4.53709838216e+000
+3.43944600000e+003, +3.79331526823e+001, +8.30458244359e+001, +1.74238367199e-003, +4.59277462043e+000
+3.46467900000e+003, +3.81991026640e+001, +8.30090280770e+001, +1.74168413398e-003, +4.64932534746e+000
+3.49009700000e+003, +3.84673960155e+001, +8.29719160178e+001, +1.74100469403e-003, +4.70671028818e+000
+3.51570100000e+003, +3.87368441910e+001, +8.29339742458e+001, +1.74028911348e-003, +4.76513694333e+000
+3.54149400000e+003, +3.90085580200e+001, +8.28965074684e+001, +1.73959114730e-003, +4.82387494716e+000
+3.56747500000e+003, +3.92819316318e+001, +8.28584195348e+001, +1.73888004933e-003, +4.88359240758e+000
+3.59364700000e+003, +3.95573626736e+001, +8.28200812660e+001, +1.73817353493e-003, +4.94409696355e+000
+3.62001100000e+003, +3.98342680864e+001, +8.27819404471e+001, +1.73744735156e-003, +5.00501408014e+000
+3.64656900000e+003, +4.01129635462e+001, +8.27434285505e+001, +1.73671255670e-003, +5.06677852584e+000
+3.67332100000e+003, +4.03939244595e+001, +8.27048606609e+001, +1.73599101915e-003, +5.12923915909e+000
+3.70027000000e+003, +4.06763569452e+001, +8.26660842276e+001, +1.73524664747e-003, +5.19240734163e+000
+3.72741600000e+003, +4.09617891432e+001, +8.26267324827e+001, +1.73454326588e-003, +5.25674513754e+000
+3.75476200000e+003, +4.12491237301e+001, +8.25880541940e+001, +1.73383737047e-003, +5.32123393431e+000
+3.78230800000e+003, +4.15381142922e+001, +8.25485250276e+001, +1.73311287498e-003, +5.38693139380e+000
+3.81005600000e+003, +4.18294061319e+001, +8.25089176248e+001, +1.73239902751e-003, +5.45337832770e+000
+3.83800800000e+003, +4.21222847663e+001, +8.24691542936e+001, +1.73166507018e-003, +5.52054355302e+000
+3.86616500000e+003, +4.24173269263e+001, +8.24289252904e+001, +1.73093334119e-003, +5.58873591106e+000
+3.89452800000e+003, +4.27143575587e+001, +8.23879965142e+001, +1.73019531797e-003, +5.65811668237e+000
+3.92309900000e+003, +4.30120465893e+001, +8.23472260153e+001, +1.72940022899e-003, +5.72788510924e+000
+3.95188000000e+003, +4.33129945177e+001, +8.23056643488e+001, +1.72864847839e-003, +5.79909950680e+000
+3.98087300000e+003, +4.36159494922e+001, +8.22643911514e+001, +1.72789303224e-003, +5.87079609605e+000
+4.01007800000e+003, +4.39206172087e+001, +8.22221491928e+001, +1.72711734275e-003, +5.94388967908e+000
+4.03949700000e+003, +4.42274968543e+001, +8.21802854023e+001, +1.72634598971e-003, +6.01743690029e+000
+4.06913200000e+003, +4.45367165832e+001, +8.21371453690e+001, +1.72557624998e-003, +6.09272798007e+000
+4.09898400000e+003, +4.48478921728e+001, +8.20942852372e+001, +1.72479927498e-003, +6.16852888953e+000
+4.12905600000e+003, +4.51614184792e+001, +8.20508048509e+001, +1.72402538294e-003, +6.24559673636e+000
+4.15934800000e+003, +4.54767146760e+001, +8.20074874013e+001, +1.72323578381e-003, +6.32325029646e+000
+4.18986200000e+003, +4.57938585628e+001, +8.19643324104e+001, +1.72243302848e-003, +6.40150208153e+000
+4.22060000000e+003, +4.61123450907e+001, +8.19208887202e+001, +1.72159591608e-003, +6.48064201880e+000
