Freq.	V(out)
9.19518514612994e+003	6.30718471975542e-001     2.16961287460371e-001
9.19635259611024e+003	6.30719310875066e-001     2.16988820778561e-001
9.19752019431372e+003	6.30720149987524e-001     2.17016357587603e-001
9.19868794075917e+003	6.30720989312970e-001     2.17043897887938e-001
9.19985583546544e+003	6.30721828851457e-001     2.17071441680008e-001
9.20102387845133e+003	6.30722668603039e-001     2.17098988964253e-001
9.20219206973568e+003	6.30723508567771e-001     2.17126539741116e-001
9.20336040933732e+003	6.30724348745707e-001     2.17154094011038e-001
9.20452889727507e+003	6.30725189136900e-001     2.17181651774461e-001
9.20569753356777e+003	6.30726029741405e-001     2.17209213031827e-001
9.20686631823425e+003	6.30726870559277e-001     2.17236777783576e-001
9.20803525129335e+003	6.30727711590568e-001     2.17264346030152e-001
9.20920433276392e+003	6.30728552835333e-001     2.17291917771995e-001
9.21037356266479e+003	6.30729394293627e-001     2.17319493009548e-001
9.21154294101482e+003	6.30730235965504e-001     2.17347071743253e-001
9.21271246783284e+003	6.30731077851017e-001     2.17374653973551e-001
9.21388214313771e+003	6.30731919950221e-001     2.17402239700886e-001
9.21505196694828e+003	6.30732762263171e-001     2.17429828925698e-001
9.21622193928340e+003	6.30733604789920e-001     2.17457421648430e-001
9.21739206016194e+003	6.30734447530522e-001     2.17485017869525e-001
9.21856232960275e+003	6.30735290485032e-001     2.17512617589424e-001
9.21973274762470e+003	6.30736133653505e-001     2.17540220808571e-001
9.22090331424664e+003	6.30736977035994e-001     2.17567827527407e-001
9.22207402948745e+003	6.30737820632554e-001     2.17595437746374e-001
9.22324489336599e+003	6.30738664443238e-001     2.17623051465917e-001
9.22441590590114e+003	6.30739508468103e-001     2.17650668686476e-001
9.22558706711176e+003	6.30740352707201e-001     2.17678289408494e-001
9.22675837701675e+003	6.30741197160587e-001     2.17705913632416e-001
9.22792983563496e+003	6.30742041828315e-001     2.17733541358682e-001
9.22910144298530e+003	6.30742886710440e-001     2.17761172587736e-001
9.23027319908663e+003	6.30743731807017e-001     2.17788807320020e-001
9.23144510395785e+003	6.30744577118099e-001     2.17816445555979e-001
9.23261715761784e+003	6.30745422643741e-001     2.17844087296054e-001
