Freq.	1/S21       v1)
9.26545434476287e+003	       1.26454006909707e+001       -1.11054143806581e+002       
9.26678776343496e+003	       1.26584575358506e+001       -1.11031139560235e+002       
9.26812137400325e+003	       1.26715031181462e+001       -1.11008189303235e+002       
9.26945517649533e+003	       1.26845374587576e+001       -1.10985292847692e+002       
9.27078917093884e+003	       1.26975605785424e+001       -1.10962450006553e+002       
9.27212335736140e+003	       1.27105724983160e+001       -1.10939660593599e+002       
9.27345773579063e+003	       1.27235732388514e+001       -1.10916924423442e+002       
9.27479230625418e+003	       1.27365628208796e+001       -1.10894241311517e+002       
9.27612706877966e+003	       1.27495412650891e+001       -1.10871611074083e+002       
9.27746202339473e+003	       1.27625085921262e+001       -1.10849033528210e+002       
9.27879717012703e+003	       1.27754648225952e+001       -1.10826508491786e+002       
9.28013250900420e+003	       1.27884099770579e+001       -1.10804035783502e+002       
9.28146804005391e+003	       1.28013440760341e+001       -1.10781615222854e+002       
9.28280376330380e+003	       1.28142671400012e+001       -1.10759246630139e+002       
9.28413967878153e+003	       1.28271791893946e+001       -1.10736929826446e+002       
9.28547578651477e+003	       1.28400802446076e+001       -1.10714664633657e+002       
9.28681208653120e+003	       1.28529703259912e+001       -1.10692450874438e+002       
9.28814857885847e+003	       1.28658494538545e+001       -1.10670288372241e+002       
9.28948526352426e+003	       1.28787176484644e+001       -1.10648176951293e+002       
9.29082214055626e+003	       1.28915749300456e+001       -1.10626116436596e+002       
9.29215920998215e+003	       1.29044213187809e+001       -1.10604106653924e+002       
9.29349647182961e+003	       1.29172568348113e+001       -1.10582147429815e+002       
9.29483392612635e+003	       1.29300814982354e+001       -1.10560238591569e+002       
9.29617157290005e+003	       1.29428953291101e+001       -1.10538379967246e+002       
9.29750941217842e+003	       1.29556983474503e+001       -1.10516571385658e+002       
9.29884744398915e+003	       1.29684905732291e+001       -1.10494812676368e+002       
9.30018566835996e+003	       1.29812720263775e+001       -1.10473103669685e+002       
9.30152408531856e+003	       1.29940427267847e+001       -1.10451444196660e+002       
9.30286269489267e+003	       1.30068026942984e+001       -1.10429834089083e+002       
9.30420149711000e+003	       1.30195519487241e+001       -1.10408273179477e+002       
9.30554049199827e+003	       1.30322905098258e+001       -1.10386761301098e+002       
9.30687967958523e+003	       1.30450183973258e+001       -1.10365298287928e+002       
9.30821905989859e+003	       1.30577356309045e+001       -1.10343883974670e+002       
9.30955863296609e+003	       1.30704422302009e+001       -1.10322518196749e+002       
9.31089839881548e+003	       1.30831382148122e+001       -1.10301200790304e+002       
9.31223835747450e+003	       1.30958236042942e+001       -1.10279931592188e+002       
9.31357850897089e+003	       1.31084984181611e+001       -1.10258710439958e+002       
9.31491885333241e+003	       1.31211626758856e+001       -1.10237537171878e+002       
9.31625939058681e+003	       1.31338163968989e+001       -1.10216411626914e+002       
9.31760012076185e+003	       1.31464596005908e+001       -1.10195333644728e+002       
9.31894104388530e+003	       1.31590923063099e+001       -1.10174303065673e+002       
9.32028215998493e+003	       1.31717145333632e+001       -1.10153319730796e+002       
9.32162346908850e+003	       1.31843263010166e+001       -1.10132383481827e+002       
9.32296497122379e+003	       1.31969276284947e+001       -1.10111494161181e+002       
9.32430666641858e+003	       1.32095185349810e+001       -1.10090651611952e+002       
9.32564855470066e+003	       1.32220990396176e+001       -1.10069855677908e+002       
9.32699063609781e+003	       1.32346691615057e+001       -1.10049106203491e+002       
9.32833291063782e+003	       1.32472289197054e+001       -1.10028403033811e+002       
9.32967537834850e+003	       1.32597783332358e+001       -1.10007746014643e+002       
9.33101803925764e+003	       1.32723174210749e+001       -1.09987134992426e+002       
9.33236089339304e+003	       1.32848462021600e+001       -1.09966569814254e+002       
9.33370394078251e+003	       1.32973646953873e+001       -1.09946050327879e+002       
9.33504718145386e+003	       1.33098729196123e+001       -1.09925576381703e+002       
9.33639061543492e+003	       1.33223708936498e+001       -1.09905147824778e+002       
9.33773424275349e+003	       1.33348586362736e+001       -1.09884764506799e+002       
9.33907806343741e+003	       1.33473361662172e+001       -1.09864426278105e+002       
9.34042207751449e+003	       1.33598035021733e+001       -1.09844132989671e+002       
9.34176628501258e+003	       1.33722606627939e+001       -1.09823884493110e+002       
9.34311068595951e+003	       1.33847076666906e+001       -1.09803680640664e+002       
9.34445528038311e+003	       1.33971445324348e+001       -1.09783521285205e+002       
9.34580006831124e+003	       1.34095712785570e+001       -1.09763406280231e+002       
9.34714504977174e+003	       1.34219879235477e+001       -1.09743335479862e+002       
9.34849022479245e+003	       1.34343944858569e+001       -1.09723308738836e+002       
9.34983559340125e+003	       1.34467909838946e+001       -1.09703325912508e+002       
9.35118115562598e+003	       1.34591774360304e+001       -1.09683386856847e+002       
9.35252691149451e+003	       1.34715538605939e+001       -1.09663491428428e+002       
9.35387286103471e+003	       1.34839202758745e+001       -1.09643639484437e+002       
9.35521900427445e+003	       1.34962767001216e+001       -1.09623830882659e+002       
9.35656534124161e+003	       1.35086231515447e+001       -1.09604065481484e+002       
9.35791187196406e+003	       1.35209596483135e+001       -1.09584343139895e+002       
9.35925859646970e+003	       1.35332862085577e+001       -1.09564663717473e+002       
9.36060551478640e+003	       1.35456028503673e+001       -1.09545027074388e+002       
9.36195262694206e+003	       1.35579095917924e+001       -1.09525433071400e+002       
