Freq.	1/S12         v1)
9.39975057928589e+003	         2.45656237005701e+001         8.63145671446203e+001         
9.40110332492243e+003	         2.45669006676688e+001         8.63150559750001e+001         
9.40245626523656e+003	         2.45681776270703e+001         8.63155447225076e+001         
9.40380940025630e+003	         2.45694545787770e+001         8.63160333871558e+001         
9.40516273000965e+003	         2.45707315227912e+001         8.63165219689577e+001         
9.40651625452466e+003	         2.45720084591152e+001         8.63170104679263e+001         
9.40786997382934e+003	         2.45732853877512e+001         8.63174988840745e+001         
9.40922388795174e+003	         2.45745623087015e+001         8.63179872174155e+001         
9.41057799691988e+003	         2.45758392219684e+001         8.63184754679621e+001         
9.41193230076181e+003	         2.45771161275543e+001         8.63189636357273e+001         
9.41328679950557e+003	         2.45783930254612e+001         8.63194517207242e+001         
9.41464149317921e+003	         2.45796699156916e+001         8.63199397229657e+001         
9.41599638181079e+003	         2.45809467982478e+001         8.63204276424648e+001         
9.41735146542835e+003	         2.45822236731319e+001         8.63209154792344e+001         
9.41870674405997e+003	         2.45835005403463e+001         8.63214032332875e+001         
9.42006221773371e+003	         2.45847773998932e+001         8.63218909046372e+001         
9.42141788647764e+003	         2.45860542517750e+001         8.63223784932963e+001         
9.42277375031982e+003	         2.45873310959939e+001         8.63228659992778e+001         
9.42412980928834e+003	         2.45886079325521e+001         8.63233534225946e+001         
9.42548606341128e+003	         2.45898847614520e+001         8.63238407632598e+001         
9.42684251271672e+003	         2.45911615826958e+001         8.63243280212862e+001         
9.42819915723275e+003	         2.45924383962859e+001         8.63248151966869e+001         
9.42955599698747e+003	         2.45937152022243e+001         8.63253022894748e+001         
9.43091303200897e+003	         2.45949920005136e+001         8.63257892996627e+001         
9.43227026232536e+003	         2.45962687911558e+001         8.63262762272637e+001         
9.43362768796473e+003	         2.45975455741533e+001         8.63267630722907e+001         
9.43498530895521e+003	         2.45988223495083e+001         8.63272498347566e+001         
9.43634312532490e+003	         2.46000991172232e+001         8.63277365146743e+001         
9.43770113710192e+003	         2.46013758773002e+001         8.63282231120569e+001         
9.43905934431439e+003	         2.46026526297415e+001         8.63287096269171e+001         
9.44041774699044e+003	         2.46039293745494e+001         8.63291960592679e+001         
9.44177634515820e+003	         2.46052061117262e+001         8.63296824091223e+001         
9.44313513884580e+003	         2.46064828412741e+001         8.63301686764931e+001         
9.44449412808138e+003	         2.46077595631955e+001         8.63306548613933e+001         
9.44585331289308e+003	         2.46090362774925e+001         8.63311409638358e+001         
9.44721269330904e+003	         2.46103129841675e+001         8.63316269838334e+001         
9.44857226935743e+003	         2.46115896832227e+001         8.63321129213991e+001         
9.44993204106638e+003	         2.46128663746603e+001         8.63325987765459e+001         
9.45129200846407e+003	         2.46141430584827e+001         8.63330845492865e+001         
9.45265217157864e+003	         2.46154197346920e+001         8.63335702396338e+001         
9.45401253043828e+003	         2.46166964032906e+001         8.63340558476009e+001         
9.45537308507114e+003	         2.46179730642807e+001         8.63345413732005e+001         
9.45673383550540e+003	         2.46192497176646e+001         8.63350268164455e+001         
9.45809478176924e+003	         2.46205263634445e+001         8.63355121773489e+001         
9.45945592389085e+003	         2.46218030016227e+001         8.63359974559235e+001         
9.46081726189841e+003	         2.46230796322014e+001         8.63364826521821e+001         
9.46217879582010e+003	         2.46243562551829e+001         8.63369677661377e+001         
9.46354052568413e+003	         2.46256328705694e+001         8.63374527978032e+001         
9.46490245151870e+003	         2.46269094783632e+001         8.63379377471913e+001         
9.46626457335199e+003	         2.46281860785666e+001         8.63384226143150e+001         
9.46762689121224e+003	         2.46294626711818e+001         8.63389073991870e+001         
9.46898940512763e+003	         2.46307392562111e+001         8.63393921018204e+001         
9.47035211512639e+003	         2.46320158336567e+001         8.63398767222279e+001         
9.47171502123674e+003	         2.46332924035209e+001         8.63403612604224e+001         
9.47307812348690e+003	         2.46345689658058e+001         8.63408457164167e+001         
9.47444142190510e+003	         2.46358455205138e+001         8.63413300902237e+001         
9.47580491651957e+003	         2.46371220676472e+001         8.63418143818563e+001         
9.47716860735854e+003	         2.46383986072081e+001         8.63422985913272e+001         
9.47853249445025e+003	         2.46396751391988e+001         8.63427827186493e+001         
9.47989657782295e+003	         2.46409516636216e+001         8.63432667638355e+001         
9.48126085750488e+003	         2.46422281804787e+001         8.63437507268985e+001         
