Freq.	S12   v1)/S21   v1)
9.26678776343496e+003	   -4.15597701136522e+000   6.47188367570242e+001    
9.26812137400325e+003	   -4.15440387680648e+000   6.47375889202581e+001    
9.26945517649533e+003	   -4.15282948637756e+000   6.47563371886965e+001    
9.27078917093884e+003	   -4.15125384072963e+000   6.47750815564140e+001    
9.27212335736140e+003	   -4.14967694051479e+000   6.47938220174835e+001    
9.27345773579063e+003	   -4.14809878638609e+000   6.48125585659847e+001    
9.27479230625418e+003	   -4.14651937899747e+000   6.48312911960043e+001    
9.27612706877966e+003	   -4.14493871900376e+000   6.48500199016363e+001    
9.27746202339473e+003	   -4.14335680706064e+000   6.48687446769823e+001    
9.27879717012703e+003	   -4.14177364382474e+000   6.48874655161487e+001    
9.28013250900420e+003	   -4.14018922995359e+000   6.49061824132492e+001    
9.28146804005391e+003	   -4.13860356610560e+000   6.49248953624016e+001    
9.28280376330380e+003	   -4.13701665293999e+000   6.49436043577366e+001    
9.28413967878153e+003	   -4.13542849111700e+000   6.49623093933841e+001    
9.28547578651477e+003	   -4.13383908129769e+000   6.49810104634848e+001    
9.28681208653120e+003	   -4.13224842414401e+000   6.49997075621817e+001    
9.28814857885847e+003	   -4.13065652031881e+000   6.50184006836304e+001    
9.28948526352426e+003	   -4.12906337048573e+000   6.50370898219920e+001    
9.29082214055626e+003	   -4.12746897530945e+000   6.50557749714269e+001    
9.29215920998215e+003	   -4.12587333545538e+000   6.50744561261114e+001    
9.29349647182961e+003	   -4.12427645158988e+000   6.50931332802239e+001    
9.29483392612635e+003	   -4.12267832438021e+000   6.51118064279472e+001    
9.29617157290005e+003	   -4.12107895449439e+000   6.51304755634756e+001    
9.29750941217842e+003	   -4.11947834260142e+000   6.51491406810080e+001    
9.29884744398915e+003	   -4.11787648937111e+000   6.51678017747491e+001    
9.30018566835996e+003	   -4.11627339547418e+000   6.51864588389094e+001    
9.30152408531856e+003	   -4.11466906158211e+000   6.52051118677126e+001    
9.30286269489266e+003	   -4.11306348836746e+000   6.52237608553740e+001    
9.30420149710999e+003	   -4.11145667650338e+000   6.52424057961349e+001    
9.30554049199827e+003	   -4.10984862666404e+000   6.52610466842291e+001    
9.30687967958522e+003	   -4.10823933952448e+000   6.52796835139018e+001    
9.30821905989859e+003	   -4.10662881576046e+000   6.52983162794071e+001    
9.30955863296609e+003	   -4.10501705604880e+000   6.53169449749990e+001    
9.31089839881548e+003	   -4.10340406106690e+000   6.53355695949493e+001    
9.31223835747450e+003	   -4.10178983149331e+000   6.53541901335224e+001    
9.31357850897089e+003	   -4.10017436800723e+000   6.53728065849995e+001    
9.31491885333241e+003	   -4.09855767128871e+000   6.53914189436668e+001    
9.31625939058681e+003	   -4.09693974201873e+000   6.54100272038156e+001    
9.31760012076185e+003	   -4.09532058087907e+000   6.54286313597431e+001    
9.31894104388530e+003	   -4.09370018855231e+000   6.54472314057568e+001    
9.32028215998492e+003	   -4.09207856572196e+000   6.54658273361657e+001    
9.32162346908849e+003	   -4.09045571307227e+000   6.54844191452896e+001    
9.32296497122379e+003	   -4.08883163128840e+000   6.55030068274549e+001    
9.32430666641858e+003	   -4.08720632105632e+000   6.55215903769907e+001    
9.32564855470066e+003	   -4.08557978306278e+000   6.55401697882381e+001    
9.32699063609781e+003	   -4.08395201799539e+000   6.55587450555429e+001    
9.32833291063782e+003	   -4.08232302654266e+000   6.55773161732555e+001    
9.32967537834850e+003	   -4.08069280939382e+000   6.55958831357360e+001    
9.33101803925764e+003	   -4.07906136723893e+000   6.56144459373516e+001    
9.33236089339304e+003	   -4.07742870076901e+000   6.56330045724703e+001    
9.33370394078251e+003	   -4.07579481067568e+000   6.56515590354768e+001    
9.33504718145386e+003	   -4.07415969765151e+000   6.56701093207544e+001    
9.33639061543492e+003	   -4.07252336238996e+000   6.56886554226939e+001    
9.33773424275349e+003	   -4.07088580558509e+000   6.57071973356996e+001    
9.33907806343741e+003	   -4.06924702793198e+000   6.57257350541745e+001    
9.34042207751449e+003	   -4.06760703012635e+000   6.57442685725346e+001    
9.34176628501258e+003	   -4.06596581286486e+000   6.57627978851982e+001    
9.34311068595951e+003	   -4.06432337684495e+000   6.57813229865896e+001    
9.34445528038311e+003	   -4.06267972276476e+000   6.57998438711490e+001    
9.34580006831124e+003	   -4.06103485132340e+000   6.58183605333096e+001    
9.34714504977174e+003	   -4.05938876322065e+000   6.58368729675228e+001    
9.34849022479245e+003	   -4.05774145915715e+000   6.58553811682406e+001    
9.34983559340125e+003	   -4.05609293983424e+000   6.58738851299297e+001    
9.35118115562598e+003	   -4.05444320595422e+000   6.58923848470511e+001    
9.35252691149451e+003	   -4.05279225822006e+000   6.59108803140828e+001    
9.35387286103471e+003	   -4.05114009733558e+000   6.59293715255039e+001    
9.35521900427445e+003	   -4.04948672400529e+000   6.59478584758087e+001    
9.35656534124161e+003	   -4.04783213893466e+000   6.59663411594841e+001    
9.35791187196406e+003	   -4.04617634282977e+000   6.59848195710403e+001    
9.35925859646970e+003	   -4.04451933639757e+000   6.60032937049817e+001    
9.36060551478640e+003	   -4.04286112034583e+000   6.60217635558248e+001    
9.36195262694206e+003	   -4.04120169538300e+000   6.60402291180932e+001    
9.36329993296458e+003	   -4.03954106221839e+000   6.60586903863164e+001    
9.36464743288185e+003	   -4.03787922156202e+000   6.60771473550310e+001    
9.36599512672178e+003	   -4.03621617412474e+000   6.60956000187806e+001    
9.36734301451228e+003	   -4.03455192061813e+000   6.61140483721166e+001    
9.36869109628126e+003	   -4.03288646175460e+000   6.61324924095936e+001    
9.37003937205664e+003	   -4.03121979824725e+000   6.61509321257784e+001    
9.37138784186633e+003	   -4.02955193081000e+000   6.61693675152410e+001    
9.37273650573826e+003	   -4.02788286015747e+000   6.61877985725632e+001    
9.37408536370036e+003	   -4.02621258700515e+000   6.62062252923245e+001    
9.37543441578056e+003	   -4.02454111206922e+000   6.62246476691197e+001    
9.37678366200679e+003	   -4.02286843606660e+000   6.62430656975477e+001    
9.37813310240700e+003	   -4.02119455971507e+000   6.62614793722126e+001    
9.37948273700913e+003	   -4.01951948373295e+000   6.62798886877331e+001    
9.38083256584113e+003	   -4.01784320883956e+000   6.62982936387232e+001    
9.38218258893095e+003	   -4.01616573575483e+000   6.63166942198123e+001    
9.38353280630655e+003	   -4.01448706519947e+000   6.63350904256343e+001    
9.38488321799589e+003	   -4.01280719789495e+000   6.63534822508284e+001    
9.38623382402693e+003	   -4.01112613456348e+000   6.63718696900451e+001    
9.38758462442763e+003	   -4.00944387592801e+000   6.63902527379360e+001    
9.38893561922598e+003	   -4.00776042271219e+000   6.64086313891656e+001    
9.39028680844994e+003	   -4.00607577564052e+000   6.64270056384003e+001    
9.39163819212751e+003	   -4.00438993543809e+000   6.64453754803179e+001    
9.39298977028666e+003	   -4.00270290283086e+000   6.64637409095998e+001    
9.39434154295538e+003	   -4.00101467854542e+000   6.64821019209373e+001    
9.39569351016166e+003	   -3.99932526330916e+000   6.65004585090271e+001    
9.39704567193351e+003	   -3.99763465785016e+000   6.65188106685725e+001    
9.39839802829891e+003	   -3.99594286289730e+000   6.65371583942821e+001    
9.39975057928588e+003	   -3.99424987918005e+000   6.65555016808785e+001    
9.40110332492243e+003	   -3.99255570742873e+000   6.65738405230846e+001    
9.40245626523656e+003	   -3.99086034837437e+000   6.65921749156304e+001    
9.40380940025629e+003	   -3.98916380274860e+000   6.66105048532576e+001    
9.40516273000965e+003	   -3.98746607128389e+000   6.66288303307137e+001    
9.40651625452465e+003	   -3.98576715471342e+000   6.66471513427490e+001    
9.40786997382934e+003	   -3.98406705377103e+000   6.66654678841249e+001    
9.40922388795173e+003	   -3.98236576919141e+000   6.66837799496043e+001    
9.41057799691987e+003	   -3.98066330170965e+000   6.67020875339687e+001    
9.41193230076180e+003	   -3.97895965206187e+000   6.67203906319965e+001    
9.41328679950556e+003	   -3.97725482098474e+000   6.67386892384774e+001    
9.41464149317920e+003	   -3.97554880921570e+000   6.67569833482042e+001    
9.41599638181078e+003	   -3.97384161749288e+000   6.67752729559810e+001    
9.41735146542835e+003	   -3.97213324655498e+000   6.67935580566215e+001    
9.41870674405997e+003	   -3.97042369714169e+000   6.68118386449339e+001    
9.42006221773370e+003	   -3.96871296999304e+000   6.68301147157522e+001    
9.42141788647763e+003	   -3.96700106585006e+000   6.68483862639004e+001    
9.42277375031981e+003	   -3.96528798545432e+000   6.68666532842191e+001    
9.42412980928833e+003	   -3.96357372954810e+000   6.68849157715539e+001    
9.42548606341127e+003	   -3.96185829887439e+000   6.69031737207569e+001    
9.42684251271671e+003	   -3.96014169417683e+000   6.69214271266886e+001    
9.42819915723274e+003	   -3.95842391619979e+000   6.69396759842152e+001    
9.42955599698746e+003	   -3.95670496568832e+000   6.69579202882093e+001    
9.43091303200896e+003	   -3.95498484338809e+000   6.69761600335551e+001    
9.43227026232535e+003	   -3.95326355004557e+000   6.69943952151379e+001    
9.43362768796473e+003	   -3.95154108640781e+000   6.70126258278527e+001    
9.43498530895520e+003	   -3.94981745322252e+000   6.70308518666045e+001    
9.43634312532489e+003	   -3.94809265127079e+000   6.70490733254045e+001    
9.43770113710191e+003	   -3.94636668123653e+000   6.70672902009632e+001    
9.43905934431438e+003	   -3.94463954390208e+000   6.70855024873075e+001    
9.44041774699044e+003	   -3.94291124001792e+000   6.71037101793669e+001    
9.44177634515819e+003	   -3.94118177033504e+000   6.71219132720835e+001    
9.44313513884579e+003	   -3.93945113560527e+000   6.71401117604012e+001    
9.44449412808137e+003	   -3.93771933658108e+000   6.71583056392698e+001    
9.44585331289307e+003	   -3.93598637401546e+000   6.71764949036547e+001    
9.44721269330904e+003	   -3.93425224866228e+000   6.71946795485168e+001    
9.44857226935742e+003	   -3.93251696127590e+000   6.72128595688330e+001    
9.44993204106638e+003	   -3.93078051261138e+000   6.72310349595845e+001    
9.45129200846406e+003	   -3.92904290342442e+000   6.72492057157598e+001    
9.45265217157864e+003	   -3.92730413447138e+000   6.72673718323557e+001    
9.45401253043827e+003	   -3.92556420650927e+000   6.72855333043750e+001    
9.45537308507113e+003	   -3.92382312029582e+000   6.73036901268253e+001    
9.45673383550539e+003	   -3.92208087658928e+000   6.73218422947259e+001    
9.45809478176924e+003	   -3.92033747614859e+000   6.73399898031018e+001    
9.45945592389084e+003	   -3.91859291973336e+000   6.73581326469845e+001    
9.46081726189840e+003	   -3.91684720810386e+000   6.73762708214112e+001    
9.46217879582010e+003	   -3.91510034202089e+000   6.73944043214314e+001    
9.46354052568413e+003	   -3.91335232224602e+000   6.74125331420949e+001    
9.46490245151869e+003	   -3.91160314954134e+000   6.74306572784654e+001    
9.46626457335199e+003	   -3.90985282466963e+000   6.74487767256094e+001    
9.46762689121223e+003	   -3.90810134839428e+000   6.74668914786031e+001    
9.46898940512762e+003	   -3.90634872147939e+000   6.74850015325261e+001    
9.47035211512639e+003	   -3.90459494468951e+000   6.75031068824720e+001    
9.47171502123674e+003	   -3.90284001878999e+000   6.75212075235348e+001    
9.47307812348690e+003	   -3.90108394454671e+000   6.75393034508186e+001    
9.47444142190509e+003	   -3.89932672272615e+000   6.75573946594389e+001    
9.47580491651956e+003	   -3.89756835409552e+000   6.75754811445084e+001    
9.47716860735853e+003	   -3.89580883942251e+000   6.75935629011572e+001    
9.47853249445024e+003	   -3.89404817947550e+000   6.76116399245183e+001    
9.47989657782294e+003	   -3.89228637502355e+000   6.76297122097277e+001    
9.48126085750487e+003	   -3.89052342683613e+000   6.76477797519391e+001    
9.48262533352429e+003	   -3.88875933568351e+000   6.76658425463042e+001    
9.48399000590944e+003	   -3.88699410233649e+000   6.76839005879862e+001    
9.48535487468860e+003	   -3.88522772756646e+000   6.77019538721551e+001    
9.48671993989002e+003	   -3.88346021214547e+000   6.77200023939860e+001    
9.48808520154197e+003	   -3.88169155684614e+000   6.77380461486627e+001    
