Freq.	1/S21       v1)
9.38623382402693e+003	       1.47370876404186e+001       -1.30381723418633e+002       
9.38758462442764e+003	       1.47471642656815e+001       -1.30349676001613e+002       
9.38893561922598e+003	       1.47572371887107e+001       -1.30317683886911e+002       
9.39028680844995e+003	       1.47673064066805e+001       -1.30285746951914e+002       
9.39163819212752e+003	       1.47773719168038e+001       -1.30253865074296e+002       
9.39298977028666e+003	       1.47874337163314e+001       -1.30222038132013e+002       
9.39434154295538e+003	       1.47974918025521e+001       -1.30190266003309e+002       
9.39569351016167e+003	       1.48075461727921e+001       -1.30158548566710e+002       
9.39704567193351e+003	       1.48175968244151e+001       -1.30126885701028e+002       
9.39839802829892e+003	       1.48276437548219e+001       -1.30095277285358e+002       
9.39975057928589e+003	       1.48376869614503e+001       -1.30063723199078e+002       
9.40110332492243e+003	       1.48477264417748e+001       -1.30032223321849e+002       
9.40245626523656e+003	       1.48577621933063e+001       -1.30000777533613e+002       
9.40380940025630e+003	       1.48677942135921e+001       -1.29969385714595e+002       
9.40516273000965e+003	       1.48778225002155e+001       -1.29938047745303e+002       
9.40651625452466e+003	       1.48878470507956e+001       -1.29906763506522e+002       
9.40786997382934e+003	       1.48978678629872e+001       -1.29875532879322e+002       
9.40922388795174e+003	       1.49078849344804e+001       -1.29844355745049e+002       
9.41057799691988e+003	       1.49178982630007e+001       -1.29813231985332e+002       
9.41193230076181e+003	       1.49279078463084e+001       -1.29782161482077e+002       
9.41328679950557e+003	       1.49379136821987e+001       -1.29751144117469e+002       
9.41464149317921e+003	       1.49479157685011e+001       -1.29720179773972e+002       
9.41599638181079e+003	       1.49579141030799e+001       -1.29689268334328e+002       
9.41735146542835e+003	       1.49679086838331e+001       -1.29658409681555e+002       
9.41870674405997e+003	       1.49778995086930e+001       -1.29627603698949e+002       
9.42006221773371e+003	       1.49878865756254e+001       -1.29596850270083e+002       
9.42141788647764e+003	       1.49978698826296e+001       -1.29566149278803e+002       
9.42277375031982e+003	       1.50078494277386e+001       -1.29535500609233e+002       
9.42412980928834e+003	       1.50178252090180e+001       -1.29504904145773e+002       
9.42548606341128e+003	       1.50277972245667e+001       -1.29474359773094e+002       
9.42684251271672e+003	       1.50377654725162e+001       -1.29443867376145e+002       
9.42819915723275e+003	       1.50477299510305e+001       -1.29413426840145e+002       
9.42955599698747e+003	       1.50576906583060e+001       -1.29383038050589e+002       
9.43091303200897e+003	       1.50676475925711e+001       -1.29352700893243e+002       
9.43227026232536e+003	       1.50776007520863e+001       -1.29322415254146e+002       
9.43362768796473e+003	       1.50875501351436e+001       -1.29292181019607e+002       
9.43498530895521e+003	       1.50974957400669e+001       -1.29261998076209e+002       
9.43634312532490e+003	       1.51074375652111e+001       -1.29231866310803e+002       
9.43770113710192e+003	       1.51173756089624e+001       -1.29201785610513e+002       
9.43905934431439e+003	       1.51273098697380e+001       -1.29171755862730e+002       
9.44041774699044e+003	       1.51372403459858e+001       -1.29141776955115e+002       
9.44177634515820e+003	       1.51471670361843e+001       -1.29111848775599e+002       
9.44313513884580e+003	       1.51570899388425e+001       -1.29081971212382e+002       
9.44449412808138e+003	       1.51670090524995e+001       -1.29052144153928e+002       
9.44585331289308e+003	       1.51769243757244e+001       -1.29022367488971e+002       
9.44721269330904e+003	       1.51868359071162e+001       -1.28992641106513e+002       
9.44857226935743e+003	       1.51967436453037e+001       -1.28962964895820e+002       
9.44993204106638e+003	       1.52066475889447e+001       -1.28933338746424e+002       
9.45129200846407e+003	       1.52165477367269e+001       -1.28903762548124e+002       
9.45265217157864e+003	       1.52264440873667e+001       -1.28874236190983e+002       
9.45401253043828e+003	       1.52363366396096e+001       -1.28844759565327e+002       
9.45537308507114e+003	       1.52462253922297e+001       -1.28815332561749e+002       
9.45673383550540e+003	       1.52561103440298e+001       -1.28785955071101e+002       
9.45809478176924e+003	       1.52659914938410e+001       -1.28756626984502e+002       
9.45945592389085e+003	       1.52758688405228e+001       -1.28727348193332e+002       
9.46081726189841e+003	       1.52857423829625e+001       -1.28698118589231e+002       
9.46217879582010e+003	       1.52956121200754e+001       -1.28668938064102e+002       
9.46354052568413e+003	       1.53054780508044e+001       -1.28639806510110e+002       
9.46490245151870e+003	       1.53153401741201e+001       -1.28610723819679e+002       
9.46626457335199e+003	       1.53251984890202e+001       -1.28581689885491e+002       
9.46762689121224e+003	       1.53350529945297e+001       -1.28552704600491e+002       
9.46898940512763e+003	       1.53449036897007e+001       -1.28523767857881e+002       
9.47035211512639e+003	       1.53547505736120e+001       -1.28494879551120e+002       
9.47171502123674e+003	       1.53645936453691e+001       -1.28466039573927e+002       
9.47307812348690e+003	       1.53744329041040e+001       -1.28437247820279e+002       
9.47444142190510e+003	       1.53842683489750e+001       -1.28408504184406e+002       
9.47580491651957e+003	       1.53940999791666e+001       -1.28379808560797e+002       
9.47716860735854e+003	       1.54039277938894e+001       -1.28351160844198e+002       
9.47853249445025e+003	       1.54137517923796e+001       -1.28322560929607e+002       
9.47989657782295e+003	       1.54235719738994e+001       -1.28294008712279e+002       
9.48126085750488e+003	       1.54333883377361e+001       -1.28265504087723e+002       
9.48262533352429e+003	       1.54432008832028e+001       -1.28237046951701e+002       
9.48399000590945e+003	       1.54530096096375e+001       -1.28208637200229e+002       
9.48535487468861e+003	       1.54628145164032e+001       -1.28180274729575e+002       
9.48671993989003e+003	       1.54726156028879e+001       -1.28151959436259e+002       
9.48808520154198e+003	       1.54824128685045e+001       -1.28123691217054e+002       
9.48945065967273e+003	       1.54922063126900e+001       -1.28095469968984e+002       
9.49081631431056e+003	       1.55019959349061e+001       -1.28067295589322e+002       
9.49218216548376e+003	       1.55117817346388e+001       -1.28039167975592e+002       
9.49354821322059e+003	       1.55215637113980e+001       -1.28011087025568e+002       
9.49491445754936e+003	       1.55313418647176e+001       -1.27983052637274e+002       
9.49628089849834e+003	       1.55411161941554e+001       -1.27955064708980e+002       
9.49764753609585e+003	       1.55508866992927e+001       -1.27927123139207e+002       
9.49901437037018e+003	       1.55606533797342e+001       -1.27899227826721e+002       
9.50038140134963e+003	       1.55704162351083e+001       -1.27871378670537e+002       
9.50174862906251e+003	       1.55801752650661e+001       -1.27843575569914e+002       
9.50311605353714e+003	       1.55899304692821e+001       -1.27815818424361e+002       
9.50448367480183e+003	       1.55996818474536e+001       -1.27788107133630e+002       
9.50585149288490e+003	       1.56094293993004e+001       -1.27760441597716e+002       
9.50721950781467e+003	       1.56191731245652e+001       -1.27732821716863e+002       
9.50858771961949e+003	       1.56289130230130e+001       -1.27705247391555e+002       
9.50995612832767e+003	       1.56386490944311e+001       -1.27677718522522e+002       
9.51132473396755e+003	       1.56483813386291e+001       -1.27650235010735e+002       
9.51269353656748e+003	       1.56581097554383e+001       -1.27622796757409e+002       
9.51406253615581e+003	       1.56678343447122e+001       -1.27595403663999e+002       
