Freq.	V(out)
9.15441763136741e+003	6.36789104242345e-001     2.17983393860279e-001
9.15557990537425e+003	6.36789951564868e-001     2.18011056751550e-001
9.15674232694710e+003	6.36790799102473e-001     2.18038723150047e-001
9.15790489610470e+003	6.36791646855196e-001     2.18066393056215e-001
9.15906761286577e+003	6.36792494823094e-001     2.18094066470499e-001
9.16023047724907e+003	6.36793343006232e-001     2.18121743393343e-001
9.16139348927333e+003	6.36794191404652e-001     2.18149423825185e-001
9.16255664895730e+003	6.36795040018427e-001     2.18177107766474e-001
9.16371995631973e+003	6.36795888847589e-001     2.18204795217653e-001
9.16488341137936e+003	6.36796737892206e-001     2.18232486179165e-001
9.16604701415496e+003	6.36797587152335e-001     2.18260180651453e-001
9.16721076466526e+003	6.36798436628021e-001     2.18287878634961e-001
9.16837466292903e+003	6.36799286319333e-001     2.18315580130134e-001
9.16953870896504e+003	6.36800136226304e-001     2.18343285137416e-001
9.17070290279203e+003	6.36800986349005e-001     2.18370993657248e-001
9.17186724442878e+003	6.36801836687487e-001     2.18398705690078e-001
9.17303173389405e+003	6.36802687241810e-001     2.18426421236350e-001
9.17419637120661e+003	6.36803538012019e-001     2.18454140296505e-001
9.17536115638524e+003	6.36804388998170e-001     2.18481862870989e-001
9.17652608944869e+003	6.36805240200317e-001     2.18509588960249e-001
9.17769117041576e+003	6.36806091618528e-001     2.18537318564724e-001
9.17885639930521e+003	6.36806943252843e-001     2.18565051684860e-001
9.18002177613584e+003	6.36807795103328e-001     2.18592788321105e-001
9.18118730092641e+003	6.36808647170028e-001     2.18620528473901e-001
9.18235297369573e+003	6.36809499453005e-001     2.18648272143693e-001
9.18351879446257e+003	6.36810351952301e-001     2.18676019330926e-001
9.18468476324572e+003	6.36811204667987e-001     2.18703770036040e-001
9.18585088006399e+003	6.36812057600114e-001     2.18731524259486e-001
9.18701714493616e+003	6.36812910748732e-001     2.18759282001705e-001
9.18818355788103e+003	6.36813764113898e-001     2.18787043263147e-001
9.18935011891740e+003	6.36814617695668e-001     2.18814808044251e-001
9.19051682806408e+003	6.36815471494094e-001     2.18842576345464e-001
9.19168368533986e+003	6.36816325509242e-001     2.18870348167232e-001
