!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:52:03 2026

BEGIN CH1_DATA
DCV(V), +1.851e-004, DCI(A), -2.556e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+3.81005600000e+003, +4.74592856010e+001, +8.09127117461e+001, +1.95760284329e-003, +7.49567182076e+000
+3.83800800000e+003, +4.77850895204e+001, +8.08683001985e+001, +1.95644345579e-003, +7.58370135302e+000
+3.86616500000e+003, +4.81139806324e+001, +8.08230834522e+001, +1.95531371117e-003, +7.67338482990e+000
+3.89452800000e+003, +4.84433120891e+001, +8.07781391883e+001, +1.95411161565e-003, +7.76341915869e+000
+3.92309900000e+003, +4.87754531208e+001, +8.07321058318e+001, +1.95292524314e-003, +7.85532617073e+000
+3.95188000000e+003, +4.91097188984e+001, +8.06860084225e+001, +1.95173168226e-003, +7.94815290596e+000
+3.98087300000e+003, +4.94462574431e+001, +8.06401744952e+001, +1.95053790388e-003, +8.04165055557e+000
+4.01007800000e+003, +4.97847614595e+001, +8.05931024451e+001, +1.94932359759e-003, +8.13705687448e+000
+4.03949700000e+003, +5.01256487060e+001, +8.05461318597e+001, +1.94811195480e-003, +8.23331032210e+000
+4.06913200000e+003, +5.04692728497e+001, +8.04987994193e+001, +1.94691311638e-003, +8.33087568554e+000
+4.09898400000e+003, +5.08148338317e+001, +8.04506255427e+001, +1.94569300366e-003, +8.43005252256e+000
+4.12905600000e+003, +5.11625877833e+001, +8.04028709737e+001, +1.94446759984e-003, +8.52979288188e+000
+4.15934800000e+003, +5.15129501151e+001, +8.03544929696e+001, +1.94324689641e-003, +8.63108849037e+000
+4.18986200000e+003, +5.18651307820e+001, +8.03064123565e+001, +1.94200561100e-003, +8.73300206106e+000
+4.22060000000e+003, +5.22186855809e+001, +8.02578348480e+001, +1.94072234169e-003, +8.83617096393e+000
+4.25156400000e+003, +5.25753269450e+001, +8.02091626471e+001, +1.93946265877e-003, +8.94053488020e+000
+4.28275400000e+003, +5.29340009267e+001, +8.01608855870e+001, +1.93819043657e-003, +9.04547710793e+000
+4.31417400000e+003, +5.32951435823e+001, +8.01115962431e+001, +1.93691192578e-003, +9.15235997279e+000
+4.34582400000e+003, +5.36585002076e+001, +8.00614664590e+001, +1.93561901892e-003, +9.26100554477e+000
+4.37770600000e+003, +5.40251032211e+001, +8.00125107560e+001, +1.93436005208e-003, +9.36974312464e+000
+4.40982300000e+003, +5.43945460880e+001, +7.99616820852e+001, +1.93310069054e-003, +9.48133667599e+000
+4.44217400000e+003, +5.47654298254e+001, +7.99114794662e+001, +1.93180675331e-003, +9.59323147833e+000
+4.47476400000e+003, +5.51389905481e+001, +7.98608483406e+001, +1.93051403821e-003, +9.70663597566e+000
+4.50759200000e+003, +5.55151721093e+001, +7.98091501202e+001, +1.92921717198e-003, +9.82216407171e+000
+4.54066100000e+003, +5.58932373381e+001, +7.97567250166e+001, +1.92789151515e-003, +9.93938505576e+000
+4.57397300000e+003, +5.62732145176e+001, +7.97040776250e+001, +1.92654089041e-003, +1.00578350689e+001
+4.60752900000e+003, +5.66550132876e+001, +7.96512100363e+001, +1.92516246500e-003, +1.01775050614e+001
+4.64133100000e+003, +5.70404153495e+001, +7.95974107088e+001, +1.92381182545e-003, +1.02994224153e+001
+4.67538100000e+003, +5.74280904810e+001, +7.95434637570e+001, +1.92244778698e-003, +1.04226005989e+001
+4.70968100000e+003, +5.78185621410e+001, +7.94896299612e+001, +1.92108894920e-003, +1.05468853086e+001
+4.74423300000e+003, +5.82124529021e+001, +7.94353565633e+001, +1.91975162494e-003, +1.06729480657e+001
+4.77903800000e+003, +5.86083472065e+001, +7.93802632962e+001, +1.91838624568e-003, +1.08009283148e+001
+4.81409900000e+003, +5.90077452362e+001, +7.93253201489e+001, +1.91704704408e-003, +1.09301439708e+001
+4.84941600000e+003, +5.94078987079e+001, +7.92692117363e+001, +1.91563664746e-003, +1.10614300555e+001
+4.88499300000e+003, +5.98113667251e+001, +7.92134153440e+001, +1.91424625022e-003, +1.11937759242e+001
+4.92083100000e+003, +6.02169032415e+001, +7.91581587494e+001, +1.91283710034e-003, +1.13267150212e+001
+4.95693200000e+003, +6.06247112677e+001, +7.91030717029e+001, +1.91141312799e-003, +1.14606650828e+001
+4.99329700000e+003, +6.10347917901e+001, +7.90457090085e+001, +1.90995871661e-003, +1.15981863204e+001
+5.02993000000e+003, +6.14475694996e+001, +7.89889115951e+001, +1.90850424632e-003, +1.17364221947e+001
+5.06683100000e+003, +6.18636254372e+001, +7.89313265249e+001, +1.90705909550e-003, +1.18769138047e+001
+5.10400300000e+003, +6.22817668290e+001, +7.88740459497e+001, +1.90559254118e-003, +1.20182918355e+001
+5.14144700000e+003, +6.27029214829e+001, +7.88157939411e+001, +1.90412469573e-003, +1.21621055373e+001
+5.17916600000e+003, +6.31262857634e+001, +7.87576767923e+001, +1.90263747895e-003, +1.23070318303e+001
+5.21716200000e+003, +6.35527899757e+001, +7.86990431385e+001, +1.90115428075e-003, +1.24539649311e+001
+5.25543700000e+003, +6.39826744043e+001, +7.86392917499e+001, +1.89967743782e-003, +1.26036305083e+001
+5.29399300000e+003, +6.44146976847e+001, +7.85799360097e+001, +1.89817950997e-003, +1.27541489355e+001
+5.33283100000e+003, +6.48511962455e+001, +7.85191942409e+001, +1.89671720548e-003, +1.29079591313e+001
+5.37195400000e+003, +6.52905779436e+001, +7.84583644828e+001, +1.89525101904e-003, +1.30633368974e+001
+5.41136500000e+003, +6.57315399830e+001, +7.83972625249e+001, +1.89374131533e-003, +1.32202377726e+001
+5.45106400000e+003, +6.61749269012e+001, +7.83357801495e+001, +1.89221255105e-003, +1.33789654383e+001
+5.49105500000e+003, +6.66209290725e+001, +7.82746074086e+001, +1.89067395159e-003, +1.35387885908e+001
+5.53133900000e+003, +6.70687886649e+001, +7.82131395142e+001, +1.88910010910e-003, +1.37002464216e+001
+5.57191800000e+003, +6.75181053234e+001, +7.81509907219e+001, +1.88747735191e-003, +1.38637136153e+001
+5.61279600000e+003, +6.79706288415e+001, +7.80889318309e+001, +1.88585931649e-003, +1.40286759999e+001
+5.65397300000e+003, +6.84266072972e+001, +7.80261229278e+001, +1.88424704873e-003, +1.41961740713e+001
+5.69545200000e+003, +6.88856825073e+001, +7.79627799732e+001, +1.88263111592e-003, +1.43659067930e+001
+5.73723600000e+003, +6.93474055819e+001, +7.79018261959e+001, +1.88101903062e-003, +1.45343422790e+001
+5.77932600000e+003, +6.98150340674e+001, +7.78367063571e+001, +1.87945249157e-003, +1.47099281761e+001
+5.82172500000e+003, +7.02850164695e+001, +7.77711533673e+001, +1.87786021325e-003, +1.48875520545e+001
+5.86443500000e+003, +7.07574800933e+001, +7.77052856018e+001, +1.87624638226e-003, +1.50671156269e+001
+5.90745800000e+003, +7.12328971497e+001, +7.76392401571e+001, +1.87462431899e-003, +1.52485686701e+001
