!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:07:18 2026

BEGIN CH1_DATA
DCV(V), -5.838e-005, DCI(A), +2.609e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+3.10488600000e+003, +4.87750978185e-001, +8.88004429800e+001, +2.49963981429e-005, +1.02109155839e-002
+3.12766500000e+003, +4.91348810933e-001, +8.87414031120e+001, +2.49968348827e-005, +1.07924240991e-002
+3.15061000000e+003, +4.95191114729e-001, +8.86958774623e+001, +2.50083949853e-005, +1.12701867226e-002
+3.17372400000e+003, +4.98970401199e-001, +8.86749022296e+001, +2.50155239276e-005, +1.15388189447e-002
+3.19700700000e+003, +5.02722186177e-001, +8.86623729592e+001, +2.50199382045e-005, +1.17354840500e-002
+3.22046200000e+003, +5.06812365174e-001, +8.86976051033e+001, +2.50401510738e-005, +1.15193998897e-002
+3.24408800000e+003, +5.10780705824e-001, +8.87215234193e+001, +2.50526610661e-005, +1.13964237423e-002
+3.26788800000e+003, +5.14743452202e-001, +8.87486076243e+001, +2.50634127308e-005, +1.12415753109e-002
+3.29186200000e+003, +5.18778180437e-001, +8.87723710810e+001, +2.50761302445e-005, +1.11145772775e-002
+3.31601200000e+003, +5.22807460885e-001, +8.87838126872e+001, +2.50869560474e-005, +1.10965250907e-002
+3.34033900000e+003, +5.27118176857e-001, +8.88156572073e+001, +2.51098889071e-005, +1.08951158798e-002
+3.36484500000e+003, +5.31276313686e-001, +8.88397733622e+001, +2.51238663236e-005, +1.07574905354e-002
+3.38953000000e+003, +5.35465861265e-001, +8.88574438136e+001, +2.51377313729e-005, +1.06772137585e-002
+3.41439700000e+003, +5.39491201749e-001, +8.88708683054e+001, +2.51423659501e-005, +1.06311004279e-002
+3.43944600000e+003, +5.43624029195e-001, +8.88816248464e+001, +2.51505532071e-005, +1.06105023120e-002
+3.46467900000e+003, +5.47510208655e-001, +8.88780849370e+001, +2.51458363756e-005, +1.07201735098e-002
+3.49009700000e+003, +5.51364968769e-001, +8.88886200382e+001, +2.51385426210e-005, +1.06942877365e-002
+3.51570100000e+003, +5.55126613568e-001, +8.88686145594e+001, +2.51255496972e-005, +1.09610403887e-002
+3.54149400000e+003, +5.59065965894e-001, +8.88674931847e+001, +2.51195486875e-005, +1.10497630907e-002
+3.56747500000e+003, +5.62892333308e-001, +8.88729617537e+001, +2.51073282588e-005, +1.10716754866e-002
+3.59364700000e+003, +5.66869158968e-001, +8.88534738319e+001, +2.51003969225e-005, +1.13426670547e-002
+3.62001100000e+003, +5.70725265215e-001, +8.88433233792e+001, +2.50870061400e-005, +1.15209137154e-002
+3.64656900000e+003, +5.74678989011e-001, +8.88090107731e+001, +2.50765150894e-005, +1.19448099399e-002
+3.67332100000e+003, +5.78623868333e-001, +8.88062311959e+001, +2.50647468577e-005, +1.20548695625e-002
+3.70027000000e+003, +5.82732671785e-001, +8.88108862231e+001, +2.50589314066e-005, +1.20931368938e-002
+3.72741600000e+003, +5.86898522295e-001, +8.88170332842e+001, +2.50543251582e-005, +1.21166357710e-002
+3.75476200000e+003, +5.91220567223e-001, +8.88258924957e+001, +2.50550953474e-005, +1.21144686306e-002
+3.78230800000e+003, +5.95626432811e-001, +8.88556568282e+001, +2.50582406997e-005, +1.18953914684e-002
+3.81005600000e+003, +6.00014723317e-001, +8.88754115730e+001, +2.50591894134e-005, +1.17761952919e-002
+3.83800800000e+003, +6.04552773718e-001, +8.88926897496e+001, +2.50649800918e-005, +1.16829863842e-002
+3.86616500000e+003, +6.08858751260e-001, +8.89119033522e+001, +2.50598218831e-005, +1.15620618245e-002
+3.89452800000e+003, +6.13214834420e-001, +8.89434908693e+001, +2.50555600943e-005, +1.13067727404e-002
+3.92309900000e+003, +6.17564526220e-001, +8.89806071655e+001, +2.50498116390e-005, +1.09869809883e-002
+3.95188000000e+003, +6.22020770385e-001, +8.90149857194e+001, +2.50470791101e-005, +1.06930940841e-002
+3.98087300000e+003, +6.26502965595e-001, +8.90248658522e+001, +2.50439044910e-005, +1.06621281363e-002
+4.01007800000e+003, +6.31227556115e-001, +8.90404032234e+001, +2.50491128067e-005, +1.05713826766e-002
+4.03949700000e+003, +6.35965073804e-001, +8.90333865620e+001, +2.50532631783e-005, +1.07285952227e-002
+4.06913200000e+003, +6.41132145827e-001, +8.89882901736e+001, +2.50725321783e-005, +1.13203099964e-002
+4.09898400000e+003, +6.46198696888e-001, +8.89542631580e+001, +2.50863597828e-005, +1.17934736760e-002
+4.12905600000e+003, +6.51127395289e-001, +8.89277907007e+001, +2.50933866068e-005, +1.21842150802e-002
+4.15934800000e+003, +6.55964490338e-001, +8.89133282600e+001, +2.50955714398e-005, +1.24402765156e-002
